	id	sentence1	label	positions
4352	1	There is a train from London Bridge Railway Station to { LOCATION1 general } but it is a direct one	None	10 12 
4353	1	There is a train from London Bridge Railway Station to { LOCATION1 price } but it is a direct one	None	10 12 
4354	1	There is a train from London Bridge Railway Station to { LOCATION1 safety } but it is a direct one	None	10 12 
4355	1	There is a train from London Bridge Railway Station to { LOCATION1 transit location } but it is a direct one	Positive	10 12 13 
9068	3	Parts of the areas I 've named are rough but { LOCATION1 general } has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )	None	10 12 
9069	3	Parts of the areas I 've named are rough but { LOCATION1 price } has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )	None	10 12 
9070	3	Parts of the areas I 've named are rough but { LOCATION1 safety } has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )	None	10 12 
9071	3	Parts of the areas I 've named are rough but { LOCATION1 transit location } has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )	Positive	10 12 13 
11708	9	i used to live all over { LOCATION1 general } and for me it was perfect	Positive	6 8 
11709	9	i used to live all over { LOCATION1 price } and for me it was perfect	None	6 8 
11710	9	i used to live all over { LOCATION1 safety } and for me it was perfect	None	6 8 
11711	9	i used to live all over { LOCATION1 transit location } and for me it was perfect	None	6 8 9 
440	10	steer clear of { LOCATION1 general }	Negative	3 5 
441	10	steer clear of { LOCATION1 price }	None	3 5 
442	10	steer clear of { LOCATION1 safety }	None	3 5 
443	10	steer clear of { LOCATION1 transit location }	None	3 5 6 
872	11	can recommend { LOCATION1 general } in South London	Positive	2 4 
873	11	can recommend { LOCATION1 price } in South London	None	2 4 
874	11	can recommend { LOCATION1 safety } in South London	None	2 4 
