	id	sentence1	label	positions
0	0	LOCATION2 , { LOCATION1 general }	None	2 4 
1	0	LOCATION2 , { LOCATION1 price }	None	2 4 
2	0	LOCATION2 , { LOCATION1 safety }	None	2 4 
3	0	LOCATION2 , { LOCATION1 transit location }	None	2 4 5 
11712	0	{ LOCATION2 general } , LOCATION1	None	0 2 
11713	0	{ LOCATION2 price } , LOCATION1	None	0 2 
11714	0	{ LOCATION2 safety } , LOCATION1	None	0 2 
11715	0	{ LOCATION2 transit location } , LOCATION1	None	0 2 3 
4355	1	There is a train from London Bridge Railway Station to { LOCATION1 transit location } but it is a direct one	Positive	10 12 13 
8584	2	I have the chance to move to E16 1TX area , it is West { LOCATION1 general }	None	14 16 
8585	2	I have the chance to move to E16 1TX area , it is West { LOCATION1 price }	None	14 16 
8586	2	I have the chance to move to E16 1TX area , it is West { LOCATION1 safety }	None	14 16 
8587	2	I have the chance to move to E16 1TX area , it is West { LOCATION1 transit location }	None	14 16 17 
9071	3	Parts of the areas I 've named are rough but { LOCATION1 transit location } has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )	Positive	10 12 13 
9508	4	Sometimes I have called my sister at lunch time , and it 's raining in { LOCATION1 general } , but not in LOCATION2	None	15 17 
9509	4	Sometimes I have called my sister at lunch time , and it 's raining in { LOCATION1 price } , but not in LOCATION2	None	15 17 
9510	4	Sometimes I have called my sister at lunch time , and it 's raining in { LOCATION1 safety } , but not in LOCATION2	None	15 17 
9511	4	Sometimes I have called my sister at lunch time , and it 's raining in { LOCATION1 transit location } , but not in LOCATION2	None	15 17 18 
14372	4	Sometimes I have called my sister at lunch time , and it 's raining in LOCATION1 , but not in { LOCATION2 general }	None	20 22 
14373	4	Sometimes I have called my sister at lunch time , and it 's raining in LOCATION1 , but not in { LOCATION2 price }	None	20 22 
14374	4	Sometimes I have called my sister at lunch time , and it 's raining in LOCATION1 , but not in { LOCATION2 safety }	None	20 22 
14375	4	Sometimes I have called my sister at lunch time , and it 's raining in LOCATION1 , but not in { LOCATION2 transit location }	None	20 22 23 
9952	5	{ LOCATION1 general } is believed to have been named after Tota , a farmer ; hence Tota 's hamlet became LOCATION1	None	0 2 
9953	5	{ LOCATION1 price } is believed to have been named after Tota , a farmer ; hence Tota 's hamlet became LOCATION1	None	0 2 
9954	5	{ LOCATION1 safety } is believed to have been named after Tota , a farmer ; hence Tota 's hamlet became LOCATION1	None	0 2 
9955	5	{ LOCATION1 transit location } is believed to have been named after Tota , a farmer ; hence Tota 's hamlet became LOCATION1	None	0 2 3 
