	id	sentence1	label	positions
0	0	LOCATION2 , [SEP1] LOCATION1 general [SEP2]	None	2 4 
1	0	LOCATION2 , [SEP1] LOCATION1 price [SEP2]	None	2 4 
2	0	LOCATION2 , [SEP1] LOCATION1 safety [SEP2]	None	2 4 
3	0	LOCATION2 , [SEP1] LOCATION1 transit location [SEP2]	None	2 4 5 
4	1000	[SEP1] LOCATION1 general [SEP2] is one of the most expensive areas of London	None	0 2 
5	1000	[SEP1] LOCATION1 price [SEP2] is one of the most expensive areas of London	Negative	0 2 
6	1000	[SEP1] LOCATION1 safety [SEP2] is one of the most expensive areas of London	None	0 2 
7	1000	[SEP1] LOCATION1 transit location [SEP2] is one of the most expensive areas of London	None	0 2 3 
8	1001	The Hard Rock Cafe is close by , just by [SEP1] LOCATION1 general [SEP2]	None	10 12 
9	1001	The Hard Rock Cafe is close by , just by [SEP1] LOCATION1 price [SEP2]	None	10 12 
10	1001	The Hard Rock Cafe is close by , just by [SEP1] LOCATION1 safety [SEP2]	None	10 12 
11	1001	The Hard Rock Cafe is close by , just by [SEP1] LOCATION1 transit location [SEP2]	None	10 12 13 
12	1002	Alternatively , [SEP1] LOCATION1 general [SEP2] 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	None	2 4 
13	1002	Alternatively , [SEP1] LOCATION1 price [SEP2] 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	Positive	2 4 
14	1002	Alternatively , [SEP1] LOCATION1 safety [SEP2] 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	None	2 4 
15	1002	Alternatively , [SEP1] LOCATION1 transit location [SEP2] 's likely the closest to the centre you can get while still being able to pay rent and bills without eating bread and butter all month	Positive	2 4 5 
16	1003	[SEP1] LOCATION1 general [SEP2] , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	Positive	0 2 
17	1003	[SEP1] LOCATION1 price [SEP2] , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	None	0 2 
18	1003	[SEP1] LOCATION1 safety [SEP2] , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	None	0 2 
19	1003	[SEP1] LOCATION1 transit location [SEP2] , SE4 It is a beautiful late-Victorian / Edwardian suburb of South-East London	None	0 2 3 
20	1004	Will add to it when I think of more lol at first answer [SEP1] LOCATION1 general [SEP2] ai n't that bad	Positive	13 15 
21	1004	Will add to it when I think of more lol at first answer [SEP1] LOCATION1 price [SEP2] ai n't that bad	None	13 15 
22	1004	Will add to it when I think of more lol at first answer [SEP1] LOCATION1 safety [SEP2] ai n't that bad	None	13 15 
23	1004	Will add to it when I think of more lol at first answer [SEP1] LOCATION1 transit location [SEP2] ai n't that bad	None	13 15 16 
24	1005	In fact I 've never once even seen a fight on the streets in [SEP1] LOCATION1 general [SEP2] and I go out all the time during the week	None	14 16 
25	1005	In fact I 've never once even seen a fight on the streets in [SEP1] LOCATION1 price [SEP2] and I go out all the time during the week	None	14 16 
26	1005	In fact I 've never once even seen a fight on the streets in [SEP1] LOCATION1 safety [SEP2] and I go out all the time during the week	Positive	14 16 
27	1005	In fact I 've never once even seen a fight on the streets in [SEP1] LOCATION1 transit location [SEP2] and I go out all the time during the week	None	14 16 17 
28	1006	But then again a cold wet afternoon in [SEP1] LOCATION1 general [SEP2] or LOCATION2 can also be amazing	None	8 10 
29	1006	But then again a cold wet afternoon in [SEP1] LOCATION1 price [SEP2] or LOCATION2 can also be amazing	None	8 10 
30	1006	But then again a cold wet afternoon in [SEP1] LOCATION1 safety [SEP2] or LOCATION2 can also be amazing	None	8 10 
31	1006	But then again a cold wet afternoon in [SEP1] LOCATION1 transit location [SEP2] or LOCATION2 can also be amazing	None	8 10 11 
32	1007	If your budget wo n't stretch to those , you could try a bit further down the road in [SEP1] LOCATION1 general [SEP2]	None	19 21 
33	1007	If your budget wo n't stretch to those , you could try a bit further down the road in [SEP1] LOCATION1 price [SEP2]	Positive	19 21 
34	1007	If your budget wo n't stretch to those , you could try a bit further down the road in [SEP1] LOCATION1 safety [SEP2]	None	19 21 
35	1007	If your budget wo n't stretch to those , you could try a bit further down the road in [SEP1] LOCATION1 transit location [SEP2]	None	19 21 22 
36	1008	Thanks in advance Yes , [SEP1] LOCATION1 general [SEP2] is the London station for Coventry	None	5 7 
37	1008	Thanks in advance Yes , [SEP1] LOCATION1 price [SEP2] is the London station for Coventry	None	5 7 
38	1008	Thanks in advance Yes , [SEP1] LOCATION1 safety [SEP2] is the London station for Coventry	None	5 7 
39	1008	Thanks in advance Yes , [SEP1] LOCATION1 transit location [SEP2] is the London station for Coventry	None	5 7 8 
40	1009	Dependent on where you are but there are two options to me : - [SEP1] LOCATION1 general [SEP2] ( LOCATION2 ) A lovely green area with a great view of London	None	14 16 
41	1009	Dependent on where you are but there are two options to me : - [SEP1] LOCATION1 price [SEP2] ( LOCATION2 ) A lovely green area with a great view of London	None	14 16 
42	1009	Dependent on where you are but there are two options to me : - [SEP1] LOCATION1 safety [SEP2] ( LOCATION2 ) A lovely green area with a great view of London	None	14 16 
43	1009	Dependent on where you are but there are two options to me : - [SEP1] LOCATION1 transit location [SEP2] ( LOCATION2 ) A lovely green area with a great view of London	None	14 16 17 
44	100	I used to live in [SEP1] LOCATION1 general [SEP2] and I liked it	Positive	5 7 
45	100	I used to live in [SEP1] LOCATION1 price [SEP2] and I liked it	None	5 7 
46	100	I used to live in [SEP1] LOCATION1 safety [SEP2] and I liked it	None	5 7 
47	100	I used to live in [SEP1] LOCATION1 transit location [SEP2] and I liked it	None	5 7 8 
48	1010	[SEP1] LOCATION1 general [SEP2] 's got good rail links into LOCATION1	None	0 2 
49	1010	[SEP1] LOCATION1 price [SEP2] 's got good rail links into LOCATION1	None	0 2 
50	1010	[SEP1] LOCATION1 safety [SEP2] 's got good rail links into LOCATION1	None	0 2 
51	1010	[SEP1] LOCATION1 transit location [SEP2] 's got good rail links into LOCATION1	Positive	0 2 3 
52	1011	[SEP1] LOCATION1 general [SEP2] is an up-and-coming inner-London area with easy access to London and LOCATION1	Positive	0 2 
53	1011	[SEP1] LOCATION1 price [SEP2] is an up-and-coming inner-London area with easy access to London and LOCATION1	None	0 2 
54	1011	[SEP1] LOCATION1 safety [SEP2] is an up-and-coming inner-London area with easy access to London and LOCATION1	None	0 2 
55	1011	[SEP1] LOCATION1 transit location [SEP2] is an up-and-coming inner-London area with easy access to London and LOCATION1	Positive	0 2 3 
56	1012	algate , [SEP1] LOCATION1 general [SEP2]	None	2 4 
57	1012	algate , [SEP1] LOCATION1 price [SEP2]	None	2 4 
58	1012	algate , [SEP1] LOCATION1 safety [SEP2]	None	2 4 
59	1012	algate , [SEP1] LOCATION1 transit location [SEP2]	None	2 4 5 
60	1013	Some parts of outer north and west London are in [SEP1] LOCATION1 general [SEP2] although as a county it was abolished years ago	None	10 12 
61	1013	Some parts of outer north and west London are in [SEP1] LOCATION1 price [SEP2] although as a county it was abolished years ago	None	10 12 
62	1013	Some parts of outer north and west London are in [SEP1] LOCATION1 safety [SEP2] although as a county it was abolished years ago	None	10 12 
63	1013	Some parts of outer north and west London are in [SEP1] LOCATION1 transit location [SEP2] although as a county it was abolished years ago	None	10 12 13 
64	1014	[SEP1] LOCATION1 general [SEP2] is not a very nice borough either	Negative	0 2 
65	1014	[SEP1] LOCATION1 price [SEP2] is not a very nice borough either	None	0 2 
66	1014	[SEP1] LOCATION1 safety [SEP2] is not a very nice borough either	None	0 2 
67	1014	[SEP1] LOCATION1 transit location [SEP2] is not a very nice borough either	None	0 2 3 
68	1015	[SEP1] LOCATION1 general [SEP2] is a bit like LOCATION2 , or I guess most other London suburbs	None	0 2 
69	1015	[SEP1] LOCATION1 price [SEP2] is a bit like LOCATION2 , or I guess most other London suburbs	None	0 2 
70	1015	[SEP1] LOCATION1 safety [SEP2] is a bit like LOCATION2 , or I guess most other London suburbs	None	0 2 
71	1015	[SEP1] LOCATION1 transit location [SEP2] is a bit like LOCATION2 , or I guess most other London suburbs	None	0 2 3 
72	1016	because [SEP1] LOCATION1 general [SEP2] has no busses running through it , it feels nicely tucked away	None	1 3 
73	1016	because [SEP1] LOCATION1 price [SEP2] has no busses running through it , it feels nicely tucked away	None	1 3 
74	1016	because [SEP1] LOCATION1 safety [SEP2] has no busses running through it , it feels nicely tucked away	None	1 3 
75	1016	because [SEP1] LOCATION1 transit location [SEP2] has no busses running through it , it feels nicely tucked away	Negative	1 3 4 
76	1017	We actually went from [SEP1] LOCATION1 general [SEP2]	None	4 6 
77	1017	We actually went from [SEP1] LOCATION1 price [SEP2]	None	4 6 
78	1017	We actually went from [SEP1] LOCATION1 safety [SEP2]	None	4 6 
79	1017	We actually went from [SEP1] LOCATION1 transit location [SEP2]	None	4 6 7 
80	1018	just keep your wits about you , bad people are everywhere I think you 'll find [SEP1] LOCATION1 general [SEP2] has a lot more crimes than LOCATION2	None	16 18 
81	1018	just keep your wits about you , bad people are everywhere I think you 'll find [SEP1] LOCATION1 price [SEP2] has a lot more crimes than LOCATION2	None	16 18 
82	1018	just keep your wits about you , bad people are everywhere I think you 'll find [SEP1] LOCATION1 safety [SEP2] has a lot more crimes than LOCATION2	Negative	16 18 
83	1018	just keep your wits about you , bad people are everywhere I think you 'll find [SEP1] LOCATION1 transit location [SEP2] has a lot more crimes than LOCATION2	None	16 18 19 
84	1019	[SEP1] LOCATION1 general [SEP2] has a lot of good restaurants and shops , it is right next to Hampstead Heath Park	None	0 2 
85	1019	[SEP1] LOCATION1 price [SEP2] has a lot of good restaurants and shops , it is right next to Hampstead Heath Park	None	0 2 
86	1019	[SEP1] LOCATION1 safety [SEP2] has a lot of good restaurants and shops , it is right next to Hampstead Heath Park	None	0 2 
87	1019	[SEP1] LOCATION1 transit location [SEP2] has a lot of good restaurants and shops , it is right next to Hampstead Heath Park	None	0 2 3 
88	101	[SEP1] LOCATION1 general [SEP2] is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision	None	0 2 
89	101	[SEP1] LOCATION1 price [SEP2] is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision	None	0 2 
90	101	[SEP1] LOCATION1 safety [SEP2] is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision	None	0 2 
91	101	[SEP1] LOCATION1 transit location [SEP2] is the place for you I 'd like to rent a place and I 've found a lovely apartment off of Oxford Street but I 'd like to know what 's the best area and look at some more properties before I make a decision	None	0 2 3 
92	1020	But [SEP1] LOCATION1 general [SEP2] is one big dump I do n't know where you got that information from , but it 's not true	Negative	1 3 
93	1020	But [SEP1] LOCATION1 price [SEP2] is one big dump I do n't know where you got that information from , but it 's not true	None	1 3 
94	1020	But [SEP1] LOCATION1 safety [SEP2] is one big dump I do n't know where you got that information from , but it 's not true	None	1 3 
95	1020	But [SEP1] LOCATION1 transit location [SEP2] is one big dump I do n't know where you got that information from , but it 's not true	None	1 3 4 
96	1021	For Baker St try [SEP1] LOCATION1 general [SEP2] a borough north of Baker St Cheaper and easier to get to and from	None	4 6 
97	1021	For Baker St try [SEP1] LOCATION1 price [SEP2] a borough north of Baker St Cheaper and easier to get to and from	Positive	4 6 
98	1021	For Baker St try [SEP1] LOCATION1 safety [SEP2] a borough north of Baker St Cheaper and easier to get to and from	None	4 6 
99	1021	For Baker St try [SEP1] LOCATION1 transit location [SEP2] a borough north of Baker St Cheaper and easier to get to and from	Positive	4 6 7 
100	1022	[SEP1] LOCATION1 general [SEP2] is quite open , green and well kept	Positive	0 2 
101	1022	[SEP1] LOCATION1 price [SEP2] is quite open , green and well kept	None	0 2 
102	1022	[SEP1] LOCATION1 safety [SEP2] is quite open , green and well kept	None	0 2 
103	1022	[SEP1] LOCATION1 transit location [SEP2] is quite open , green and well kept	None	0 2 3 
104	1023	I 'd certainly prefer [SEP1] LOCATION1 general [SEP2] to LOCATION1	Positive	4 6 
105	1023	I 'd certainly prefer [SEP1] LOCATION1 price [SEP2] to LOCATION1	None	4 6 
106	1023	I 'd certainly prefer [SEP1] LOCATION1 safety [SEP2] to LOCATION1	None	4 6 
107	1023	I 'd certainly prefer [SEP1] LOCATION1 transit location [SEP2] to LOCATION1	None	4 6 7 
108	1024	[SEP1] LOCATION1 general [SEP2] is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there	Negative	0 2 
109	1024	[SEP1] LOCATION1 price [SEP2] is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there	None	0 2 
110	1024	[SEP1] LOCATION1 safety [SEP2] is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there	Negative	0 2 
111	1024	[SEP1] LOCATION1 transit location [SEP2] is a little dodgy but in a sense it 's more run down and just looks quite worrying to walk alone there	None	0 2 3 
112	1025	[SEP1] LOCATION1 general [SEP2] a generally a very safe area so there is no need to be scared of travelling alone	None	0 2 
113	1025	[SEP1] LOCATION1 price [SEP2] a generally a very safe area so there is no need to be scared of travelling alone	None	0 2 
114	1025	[SEP1] LOCATION1 safety [SEP2] a generally a very safe area so there is no need to be scared of travelling alone	Positive	0 2 
115	1025	[SEP1] LOCATION1 transit location [SEP2] a generally a very safe area so there is no need to be scared of travelling alone	None	0 2 3 
116	1026	I live in London , i hope you realise that [SEP1] LOCATION1 general [SEP2] is one of the most run down areas of London and it is home to the most notorious estate in the UK	Negative	10 12 
117	1026	I live in London , i hope you realise that [SEP1] LOCATION1 price [SEP2] is one of the most run down areas of London and it is home to the most notorious estate in the UK	None	10 12 
118	1026	I live in London , i hope you realise that [SEP1] LOCATION1 safety [SEP2] is one of the most run down areas of London and it is home to the most notorious estate in the UK	None	10 12 
119	1026	I live in London , i hope you realise that [SEP1] LOCATION1 transit location [SEP2] is one of the most run down areas of London and it is home to the most notorious estate in the UK	None	10 12 13 
120	1027	Although the area has a lacklustre reputation , the housing stock around [SEP1] LOCATION1 general [SEP2] is not cheap at all	Negative	12 14 
121	1027	Although the area has a lacklustre reputation , the housing stock around [SEP1] LOCATION1 price [SEP2] is not cheap at all	Negative	12 14 
122	1027	Although the area has a lacklustre reputation , the housing stock around [SEP1] LOCATION1 safety [SEP2] is not cheap at all	None	12 14 
123	1027	Although the area has a lacklustre reputation , the housing stock around [SEP1] LOCATION1 transit location [SEP2] is not cheap at all	None	12 14 15 
124	1028	I agree [SEP1] LOCATION1 general [SEP2] is a little better and easy to commute to LOCATION1	None	2 4 
125	1028	I agree [SEP1] LOCATION1 price [SEP2] is a little better and easy to commute to LOCATION1	None	2 4 
126	1028	I agree [SEP1] LOCATION1 safety [SEP2] is a little better and easy to commute to LOCATION1	None	2 4 
127	1028	I agree [SEP1] LOCATION1 transit location [SEP2] is a little better and easy to commute to LOCATION1	Positive	2 4 5 
128	1029	[SEP1] LOCATION1 general [SEP2] is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	Negative	0 2 
129	1029	[SEP1] LOCATION1 price [SEP2] is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	Positive	0 2 
130	1029	[SEP1] LOCATION1 safety [SEP2] is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	None	0 2 
131	1029	[SEP1] LOCATION1 transit location [SEP2] is an unfashionable postcode area , but the town is a nice place to live and the extensive suburbs provide much scope to find slightly affordable living space	None	0 2 3 
132	102	[SEP1] LOCATION1 general [SEP2] station is about a ten minute train ride from the main station at LOCATION1	None	0 2 
133	102	[SEP1] LOCATION1 price [SEP2] station is about a ten minute train ride from the main station at LOCATION1	None	0 2 
134	102	[SEP1] LOCATION1 safety [SEP2] station is about a ten minute train ride from the main station at LOCATION1	None	0 2 
135	102	[SEP1] LOCATION1 transit location [SEP2] station is about a ten minute train ride from the main station at LOCATION1	Positive	0 2 3 
136	1030	[SEP1] LOCATION1 general [SEP2] is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	Negative	0 2 
137	1030	[SEP1] LOCATION1 price [SEP2] is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	None	0 2 
138	1030	[SEP1] LOCATION1 safety [SEP2] is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	None	0 2 
139	1030	[SEP1] LOCATION1 transit location [SEP2] is more rugged , and not so avant-guard , but it has an incredible range of bars and music venues , playing mostly rock music , both small and well-established bands	None	0 2 3 
140	1031	I now live in [SEP1] LOCATION1 general [SEP2] with a lovely set of neighbours from all sorts of ethnic backgrounds	None	4 6 
141	1031	I now live in [SEP1] LOCATION1 price [SEP2] with a lovely set of neighbours from all sorts of ethnic backgrounds	None	4 6 
142	1031	I now live in [SEP1] LOCATION1 safety [SEP2] with a lovely set of neighbours from all sorts of ethnic backgrounds	None	4 6 
143	1031	I now live in [SEP1] LOCATION1 transit location [SEP2] with a lovely set of neighbours from all sorts of ethnic backgrounds	None	4 6 7 
144	1032	I used to live in [SEP1] LOCATION1 general [SEP2] a few years ago	None	5 7 
145	1032	I used to live in [SEP1] LOCATION1 price [SEP2] a few years ago	None	5 7 
146	1032	I used to live in [SEP1] LOCATION1 safety [SEP2] a few years ago	None	5 7 
147	1032	I used to live in [SEP1] LOCATION1 transit location [SEP2] a few years ago	None	5 7 8 
148	1033	[SEP1] LOCATION1 general [SEP2] is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	Positive	0 2 
149	1033	[SEP1] LOCATION1 price [SEP2] is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	None	0 2 
150	1033	[SEP1] LOCATION1 safety [SEP2] is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	None	0 2 
151	1033	[SEP1] LOCATION1 transit location [SEP2] is a pleasant enough suburb , but very quite and a fair distance to any large shopping area	None	0 2 3 
152	1034	I love it around [SEP1] LOCATION1 general [SEP2]	Positive	4 6 
153	1034	I love it around [SEP1] LOCATION1 price [SEP2]	None	4 6 
154	1034	I love it around [SEP1] LOCATION1 safety [SEP2]	None	4 6 
155	1034	I love it around [SEP1] LOCATION1 transit location [SEP2]	None	4 6 7 
156	1035	Around [SEP1] LOCATION1 general [SEP2] is probably the best choice	Positive	1 3 
157	1035	Around [SEP1] LOCATION1 price [SEP2] is probably the best choice	None	1 3 
158	1035	Around [SEP1] LOCATION1 safety [SEP2] is probably the best choice	None	1 3 
159	1035	Around [SEP1] LOCATION1 transit location [SEP2] is probably the best choice	None	1 3 4 
160	1036	[SEP1] LOCATION1 general [SEP2] is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections	Positive	0 2 
161	1036	[SEP1] LOCATION1 price [SEP2] is pretty good the high street has a good general selection of amenities , its safe ( its the most Jewish of London suburbs , and they are generally a quiet and peaceful bunch ) and it has good transport connections	None	0 2 
