Row Labels,LOCATION1#general,LOCATION1#price,LOCATION1#safety,LOCATION1#transit,LOCATION2#general,LOCATION2#price,LOCATION2#safety,LOCATION2#transit
"Zone 2 ,  LOCATION1   area",0,0,0,0,,,,
"Your council house Probably  LOCATION1   , but why does it matter",0,0,0,0,,,,
"Your best bet is to look south of the river- possibly  LOCATION1   , which is where my other half comes from",1,0,0,0,,,,
You wo n't have much time left after travelling from the airport to  LOCATION1  ,0,0,0,0,,,,
"You will see that  LOCATION1   is the most dangerous London borough and , by far , has the most crime",0,0,-1,0,,,,
You will be fine in  LOCATION1   as long as you use your common sense,0,0,1,0,,,,
"you want good venues , restaurants pubs and clubs with good looking chicks that are easy , live in  LOCATION1  ",0,0,0,0,,,,
"You said before that you live near  LOCATION1   , so I am actually surprised that someone from there has even heard of Bexley , but please do not talk about what you dont know",0,0,0,0,,,,
You probably heard bad things about  LOCATION1   because it is regarded as an ugly part of Greater London,-1,0,0,0,,,,
you need to read up about what happened when the newspapers relocated to  LOCATION1   it 's regenerated a big area which was derelict and added a lot of office and housing space,0,0,0,0,,,,
You need to go by British Rail from richmond ask at the office or by  LOCATION1  ,0,0,0,0,,,,
You need to be rich to live in some parts of  LOCATION1  ,0,-1,0,0,,,,
"You might want to consider LOCATION1 or parts of  LOCATION2   , all up and coming areas and relatively quite pleasant and affordable areas to live in and not too far in terms of commuting distance to central London",,,,,1,1,0,1
"You might want to consider  LOCATION1   or parts of LOCATION2 , all up and coming areas and relatively quite pleasant and affordable areas to live in and not too far in terms of commuting distance to central London",1,1,0,1,,,,
"You might just find a bedsit or a `` studio '' as they are now called in a grotty part of London like LOCATION2 or  LOCATION1   for 600 pounds but that will be the bare minimum including bills , and the street you are on and the people in your block of flats will probably be quite skanky or even dangerous",0,0,-1,0,,,,
"You might just find a bedsit or a `` studio '' as they are now called in a grotty part of London like  LOCATION2   or LOCATION1 for 600 pounds but that will be the bare minimum including bills , and the street you are on and the people in your block of flats will probably be quite skanky or even dangerous",,,,,0,0,-1,0
"You might also want to consider  LOCATION1   - it 's on the Piccadilly Line , it 's a nicer area It depends",1,0,0,1,,,,
"You live where you can afford  LOCATION1   has a higher crime rate than many other areas of London , but Maxi says do n't walk alone anywhere in the uk That is nonsense I have walked everywhere in the uk",0,0,-1,0,,,,
You live in  LOCATION1  ,0,0,0,0,,,,
You have a  LOCATION1   accent,0,0,0,0,,,,
"You do n't specify which area of  LOCATION1   you live in , it might be necessary for you to travel a little outside your immediate area",0,0,0,0,,,,
You could try the  LOCATION1  ,1,0,0,0,,,,
You could try researching LOCATION2 and places near it like  LOCATION1  ,1,0,0,0,,,,
You could try researching  LOCATION2   and places near it like LOCATION1,,,,,1,0,0,0
"You could try looking at an area like  LOCATION1   , it 's nice , quite young , has nice restaurants etc but is slightly cheaper",1,1,0,0,,,,
You could possibly try to compare rent s between flats in LOCATION1 and  LOCATION2   and other boroughs in the west of London,,,,,0,0,0,0
You could possibly try to compare rent s between flats in  LOCATION1   and LOCATION2 and other boroughs in the west of London,0,0,0,0,,,,
you could opt for lower end of  LOCATION1   which has buses to LOCATION1 and the overground,0,0,0,1,,,,
"You could look in the area around LOCATION1 , and  LOCATION2  ",,,,,1,0,0,0
"You could look in the area around  LOCATION1   , and LOCATION2",1,0,0,0,,,,
"You could look at somewhere like LOCATION1 which is only 20 minutes on train to  LOCATION2   , very safe and quiet and a little cheaper than nice areas that are more central",,,,,0,0,0,0
"You could look at somewhere like  LOCATION1   which is only 20 minutes on train to LOCATION2 , very safe and quiet and a little cheaper than nice areas that are more central",1,1,1,1,,,,
you could live in most parts of LOCATION1 and some areas of  LOCATION2   and be able to commute easily,,,,,0,0,0,1
you could live in most parts of  LOCATION1   and some areas of LOCATION2 and be able to commute easily,0,0,0,1,,,,
"You could go to LOCATION2 ( an Indian area ) or  LOCATION1   and buy things cheap from Indian shops there , until you have had a chance to explore other reasonable shops",0,1,0,0,,,,
"You could go to  LOCATION2   ( an Indian area ) or LOCATION1 and buy things cheap from Indian shops there , until you have had a chance to explore other reasonable shops",,,,,0,1,0,0
You could go South of the river and look at LOCATION2 or  LOCATION1   both of which are in zones 1 and 2 and have good transport links,1,0,0,1,,,,
You could go South of the river and look at  LOCATION2   or LOCATION1 both of which are in zones 1 and 2 and have good transport links,,,,,1,0,0,1
