Sum of label_val	Column Labels								
Row Labels	LOCATION1#general	LOCATION1#price	LOCATION1#safety	LOCATION1#transit	LOCATION2#general	LOCATION2#price	LOCATION2#safety	LOCATION2#transit	Grand Total
0	0	0	0	0	0	0	0	0	0
" LOCATION2 general  , LOCATION1"					0				0
" LOCATION2 price  , LOCATION1"						0			0
" LOCATION2 safety  , LOCATION1"							0		0
" LOCATION2 transit location  , LOCATION1"								0	0
"LOCATION2 ,  LOCATION1 general "	0								0
"LOCATION2 ,  LOCATION1 price "		0							0
"LOCATION2 ,  LOCATION1 safety "			0						0
"LOCATION2 ,  LOCATION1 transit location "				0					0
1	0	0	0	1					1
There is a train from London Bridge Railway Station to  LOCATION1 general  but it is a direct one	0								0
There is a train from London Bridge Railway Station to  LOCATION1 price  but it is a direct one		0							0
There is a train from London Bridge Railway Station to  LOCATION1 safety  but it is a direct one			0						0
There is a train from London Bridge Railway Station to  LOCATION1 transit location  but it is a direct one				1					1
2	0	0	0	0					0
"I have the chance to move to E16 1TX area , it is West  LOCATION1 general "	0								0
"I have the chance to move to E16 1TX area , it is West  LOCATION1 price "		0							0
"I have the chance to move to E16 1TX area , it is West  LOCATION1 safety "			0						0
"I have the chance to move to E16 1TX area , it is West  LOCATION1 transit location "				0					0
3	0	0	0	1					1
"Parts of the areas I 've named are rough but  LOCATION1 general  has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )"	0								0
"Parts of the areas I 've named are rough but  LOCATION1 price  has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )"		0							0
"Parts of the areas I 've named are rough but  LOCATION1 safety  has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )"			0						0
"Parts of the areas I 've named are rough but  LOCATION1 transit location  has great transport connections and it 's fairly lively with a wide variety of nationalities Hi , I 'm 22 years old and I 'm a girl with some problems in my country In the place where I live ( I 'm Italian ) There are bad people , they caused me so many problems , I passed all my days closed at home because of the fear to go out it 's so terrible My idea is to come in London to begin a new life with my boyfriend ( if he will agree with me about that I 've some doubts )"				1					1
4	0	0	0	0	0	0	0	0	0
"Sometimes I have called my sister at lunch time , and it 's raining in  LOCATION1 general  , but not in LOCATION2"	0								0
"Sometimes I have called my sister at lunch time , and it 's raining in  LOCATION1 price  , but not in LOCATION2"		0							0
"Sometimes I have called my sister at lunch time , and it 's raining in  LOCATION1 safety  , but not in LOCATION2"			0						0
"Sometimes I have called my sister at lunch time , and it 's raining in  LOCATION1 transit location  , but not in LOCATION2"				0					0
"Sometimes I have called my sister at lunch time , and it 's raining in LOCATION1 , but not in  LOCATION2 general "					0				0
"Sometimes I have called my sister at lunch time , and it 's raining in LOCATION1 , but not in  LOCATION2 price "						0			0
"Sometimes I have called my sister at lunch time , and it 's raining in LOCATION1 , but not in  LOCATION2 safety "							0		0
"Sometimes I have called my sister at lunch time , and it 's raining in LOCATION1 , but not in  LOCATION2 transit location "								0	0
5	0	0	0	0					0
" LOCATION1 general  is believed to have been named after Tota , a farmer ; hence Tota 's hamlet became LOCATION1"	0								0
" LOCATION1 price  is believed to have been named after Tota , a farmer ; hence Tota 's hamlet became LOCATION1"		0							0
" LOCATION1 safety  is believed to have been named after Tota , a farmer ; hence Tota 's hamlet became LOCATION1"			0						0
" LOCATION1 transit location  is believed to have been named after Tota , a farmer ; hence Tota 's hamlet became LOCATION1"				0					0
6	0	0	0	0					0
 LOCATION1 general  Tube	0								0
 LOCATION1 price  Tube		0							0
 LOCATION1 safety  Tube			0						0
 LOCATION1 transit location  Tube				0					0
7	0	0	0	0	0	0	0	0	0
" LOCATION2 general  When I was in London in the 1980 's , the place to be was in the developing LOCATION1 area"					0				0
" LOCATION2 price  When I was in London in the 1980 's , the place to be was in the developing LOCATION1 area"						0			0
" LOCATION2 safety  When I was in London in the 1980 's , the place to be was in the developing LOCATION1 area"							0		0
" LOCATION2 transit location  When I was in London in the 1980 's , the place to be was in the developing LOCATION1 area"								0	0
"LOCATION2 When I was in London in the 1980 's , the place to be was in the developing  LOCATION1 general  area"	0								0
"LOCATION2 When I was in London in the 1980 's , the place to be was in the developing  LOCATION1 price  area"		0							0
"LOCATION2 When I was in London in the 1980 's , the place to be was in the developing  LOCATION1 safety  area"			0						0
"LOCATION2 When I was in London in the 1980 's , the place to be was in the developing  LOCATION1 transit location  area"				0					0
8	0	0	0	0	0	0	0	0	0
Look at somewhere like  LOCATION2 general  which is about half an hour from LOCATION1 so mabye if you have to travel at the other and and in Central London it may take an hour ( without delays )					0				0
Look at somewhere like  LOCATION2 price  which is about half an hour from LOCATION1 so mabye if you have to travel at the other and and in Central London it may take an hour ( without delays )						0			0
Look at somewhere like  LOCATION2 safety  which is about half an hour from LOCATION1 so mabye if you have to travel at the other and and in Central London it may take an hour ( without delays )							0		0
Look at somewhere like  LOCATION2 transit location  which is about half an hour from LOCATION1 so mabye if you have to travel at the other and and in Central London it may take an hour ( without delays )								0	0
Look at somewhere like LOCATION2 which is about half an hour from  LOCATION1 general  so mabye if you have to travel at the other and and in Central London it may take an hour ( without delays )	0								0
