pair,sentences,pred,TRUE,,,,single,sentences,pred,TRUE,,,duplicated,,
19,"My hometown is LOCATION1 transit location , in SW London literally a walk into surrey",1,0,,,,11,"there 's LOCATION1 transit location , which is , I would say , a forest The Thames also runs through there",1,0,,,#N/A,,None 0
33,"LOCATION1 price is considered one of the best areas of London , but with that salary you can afford it",2,0,,,,33,"LOCATION1 price is considered one of the best areas of London , but with that salary you can afford it",2,0,,,3,,Positive 1
47,"There are good bus and train routes around , and several trams stops to get you quickly into LOCATION1 transit location for shopping and main station",0,1,,,,48,LOCATION1 general is rough and quite nasty - I would not like to walk round there at night,0,2,,,#N/A,,Negatif 2
60,"Rare Lane , Inchicore Dublin , Ireland 085.760.5190 Email : FWA TRAINING is in the UK LOCATION1 general has the high-speed link to London and to the Kent coast and France ( via Chunnel ) , it has some beautiful villages around",0,1,,,,60,"Rare Lane , Inchicore Dublin , Ireland 085.760.5190 Email : FWA TRAINING is in the UK LOCATION1 general has the high-speed link to London and to the Kent coast and France ( via Chunnel ) , it has some beautiful villages around",0,1,,,5,,
78,"LOCATION1 safety is a decent area , you can tell if the area has gangs in it or not by looking at walls in alleyways to see if there are tags on them",2,0,,,,63,"Rare Lane , Inchicore Dublin , Ireland 085.760.5190 Email : FWA TRAINING is in the UK LOCATION1 transit location has the high-speed link to London and to the Kent coast and France ( via Chunnel ) , it has some beautiful villages around",0,1,,,#N/A,,
122,woohhh i live in LOCATION1 safety and no i do n't go around roobing/shooting people,2,0,,,,94,LOCATION1 safety is full of gangs,0,2,,,#N/A,,
132,The LOCATION1 general have been gradually tarted up over the years and there 's lots of expensive new apartments and all that,2,1,,,,122,woohhh i live in LOCATION1 safety and no i do n't go around roobing/shooting people,1,0,,,7,,
149,"LOCATION1 price feels very much a part of London and it 's only zone 3 , so transport costs are lower",1,0,,,,132,The LOCATION1 general have been gradually tarted up over the years and there 's lots of expensive new apartments and all that,2,1,,,8,,
191,"if you 're gon na live here , I live in LOCATION1 transit location and it 's lovely , very safe , very lively close to everything",0,1,,,,149,"LOCATION1 price feels very much a part of London and it 's only zone 3 , so transport costs are lower",1,0,,,9,,
209,"It is in the London borough of LOCATION2 though and that has a reputation as being a bit rough , but , I have friends who live in and around LOCATION1 price , and they 're the arty/graphic designer/posh type",2,0,,,,191,"if you 're gon na live here , I live in LOCATION1 transit location and it 's lovely , very safe , very lively close to everything",0,1,,,10,,
210,"It is in the London borough of LOCATION2 though and that has a reputation as being a bit rough , but , I have friends who live in and around LOCATION1 safety , and they 're the arty/graphic designer/posh type",2,0,,,,195,LOCATION1 transit location is not in or near LOCATION2 Whichever of London 's airports gives you the lowest air fare,2,0,,,#N/A,,
232,"Although truly , any where except LOCATION1 general will do",2,0,,,,218,"It actually shows that the most `` dangerous '' area is probably the area you immediately think of when you think of London , LOCATION1 safety",0,2,,,#N/A,,
240,"You 're also walking distance from both LOCATION1 general and Queen 's Park , which are slightly more upmarket with excellent restaurants again , and a longish walk to LOCATION2 , a lovely wild space with arguably one of the best views over London , and Kenwood House The best town north west of London is about 8,000 miles NW of London",1,0,,,,240,"You 're also walking distance from both LOCATION1 general and Queen 's Park , which are slightly more upmarket with excellent restaurants again , and a longish walk to LOCATION2 , a lovely wild space with arguably one of the best views over London , and Kenwood House The best town north west of London is about 8,000 miles NW of London",1,0,,,14,,
244,"Lots of bars and restaurants in LOCATION1 general You could go dog racing also , that is local and lots of fun",1,0,,,,276,You are so close to the London and central London and LOCATION1 general have some great services and activites,0,1,,,16,,
276,You are so close to the London and central London and LOCATION1 general have some great services and activites,0,1,,,,284,"LOCATION1 general , is not exactly the most `` up-market `` part of town by any means",2,1,,,17,,
284,"LOCATION1 general , is not exactly the most `` up-market `` part of town by any means",2,1,,,,294,Yes there are safe parts of LOCATION2 but far fewer than say LOCATION1 safety,2,1,,,#N/A,,
